都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,区,所在地1,所在地2,緯度,経度,電話番号,URL,設置主体,定員,開所時間,閉所時間,保育標準開始時間,保育標準終了時間,保育短時間開始時間,保育短時間終了時間,一時預かり事業の種類,基本的な利用できる曜日,基本的な利用できる時間（開始時間）,基本的な利用できる時間（終了時間）,基本的な利用できる歳児,予約を開始する概ねの時期,利用料、免除基準,備考（一時預かり）,募集人数・申込人数の該当月,募集人数（0歳）,募集人数（1歳）,募集人数（2歳）,募集人数（3歳）,募集人数（4歳）,募集人数（5歳）,申込人数（0歳）,申込人数（1歳）,申込人数（2歳）,申込人数（3歳）,申込人数（4歳）,申込人数（5歳）,申込数集計日
221309,18101,静岡県,浜松市,南保育園,ミナミホイクエン,4328043,中央区,浜松市中央区浅田町73-39,,34.695824,137.735759,（053）452-1413,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10202.html,浜松市,120,7:00,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,9,1,0,0,0,0,2025-12-19
221309,18102,静岡県,浜松市,鴨江保育園,カモエホイクエン,4328023,中央区,浜松市中央区鴨江二丁目8-1,,34.704819,137.715496,（053）453-1206,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10188.html,浜松市,140,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,0,0,0,11,5,2,0,0,0,2025-12-19
221309,18104,静岡県,浜松市,花川保育園,ハナカワホイクエン,4338116,中央区,浜松市中央区西丘町1000,,34.777054,137.699133,（053）436-1205,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10197.html,浜松市,80,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,1,0,0,7,1,0,0,0,0,2025-12-19
221309,18111,静岡県,浜松市,江西保育園,コウサイホイクエン,4328047,中央区,浜松市中央区神田町176,,34.686897,137.725299,（053）441-8121,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10185.html,浜松市,110,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,2,2,2,0,6,2,0,0,0,0,2025-12-19
221309,18112,静岡県,浜松市,権現谷保育園,ゴンゲンヤホイクエン,4328002,中央区,浜松市中央区富塚町1480-1,,34.731056,137.708662,（053）474-2765,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10190.html,浜松市,140,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,0,0,0,12,4,2,2,1,0,2025-12-19
221309,18114,静岡県,浜松市,寺島保育園,テラジマホイクエン,4300925,中央区,浜松市中央区寺島町285-5,,34.699861,137.741881,（053）456-3248,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10194.html,浜松市,130,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,16,0,1,0,0,0,2025-12-19
221309,18115,静岡県,浜松市,西保育園,ニシホイクエン,4328012,中央区,浜松市中央区布橋二丁目4-17,,34.721792,137.714251,（053）474-6322,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10196.html,浜松市,110,7:00,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,9,4,4,2,0,0,2025-12-19
221309,18103,静岡県,浜松市,中ノ町保育園,ナカノマチホイクエン,4350004,中央区,浜松市中央区中野町2598-2,,34.731844,137.800831,（053）421-0327,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10195.html,浜松市,80,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,2,0,0,0,0,0,2025-12-19
221309,18106,静岡県,浜松市,積志保育園,セキシホイクエン,4313121,中央区,浜松市中央区有玉北町1264,,34.764119,137.760993,（053）434-0138,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10192.html,浜松市,120,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,7,2,0,3,0,0,2025-12-19
221309,18108,静岡県,浜松市,笠井保育園,カサイホイクエン,4313107,中央区,浜松市中央区笠井町1284,,34.766683,137.791347,（053）434-1636,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10186.html,浜松市,90,7:00,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,1,6,4,3,2,0,0,2025-12-19
221309,18105,静岡県,浜松市,神田原保育園,カンダバラホイクエン,4328001,中央区,浜松市中央区西山町2150-2,,34.739684,137.683356,（053）485-8550,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10189.html,浜松市,100,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,0,0,0,2,0,0,0,0,0,2025-12-19
221309,18119,静岡県,浜松市,舞阪第1保育園,マイサカダイイチホイクエン,4310214,中央区,浜松市中央区舞阪町弁天島3885,,34.692889,137.604046,（053）592-0004,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10198.html,浜松市,80,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,18:00,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,1,0,1,0,0,0,0,0,0,2025-12-19
221309,18120,静岡県,浜松市,舞阪第2保育園,マイサカダイニホイクエン,4310211,中央区,浜松市中央区舞阪町舞阪2659-3,,34.683246,137.613663,（053）592-3552,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10199.html,浜松市,90,7:00,18:30,7:00,18:00,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,18:00,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-19
221309,18121,静岡県,浜松市,雄踏保育園,ユウトウホイクエン,4310102,中央区,浜松市中央区雄踏町宇布見5461,,34.702455,137.636823,（053）592-0502,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10203.html,浜松市,140,7:00,18:30,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,8,0,0,1,0,0,2025-12-19
221309,18116,静岡県,浜松市,可美保育園,カミホイクエン,4328051,中央区,浜松市中央区若林町70-1,,34.686192,137.701261,（053）447-0713,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10187.html,浜松市,150,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,0,0,0,0,8,6,2,2,0,0,2025-12-19
221309,18107,静岡県,浜松市,三方原保育園,ミカタハラホイクエン,4338104,中央区,浜松市中央区東三方町21-1,,34.775529,137.726315,（053）436-1208,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10200.html,浜松市,110,7:30,19:00,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,1,1,0,3,2,0,0,0,0,2025-12-19
221309,18222,静岡県,浜松市,引佐保育園,イナサホイクエン,4312212,浜名区,浜松市浜名区引佐町井伊谷717,,34.832374,137.670788,（053）542-0268,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10184.html,浜松市,90,7:15,18:45,7:15,18:15,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:15,18:15,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,1,1,1,5,2,1,0,0,0,2025-12-19
221309,18223,静岡県,浜松市,三ヶ日保育園,ミッカビホイクエン,4311414,浜名区,浜松市浜名区三ヶ日町三ヶ日811-5,,34.806011,137.550700,（053）525-0955,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10201.html,浜松市,120,7:30,18:30,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,1,0,0,2,2,0,4,0,1,0,0,0,2025-12-19
221309,18224,静岡県,浜松市,都筑保育園,ツヅキホイクエン,4311402,浜名区,浜松市浜名区三ヶ日町都筑1789-6,,34.795652,137.574803,（053）526-7751,https://www.hamamatsu-pippi.net/shiritai/yoho/hoikuen/ninkahoiku/kokyoninka/10193.html,浜松市,90,7:30,18:30,7:30,18:30,8:30,16:30,一時預かり事業（一般型）,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,18:30,"0歳児（産休明から）,1歳児,2歳児,3歳児,4歳児,5歳児",おおむね2か月前,"市の基準により実施　※【0〜2歳児】4時間未満:1,200円、4時間以上:2,000円【3〜5歳児】4時間未満:500円、4時間以上:800円、副食費:200円",利用を希望する日の保育室の面積基準、保育士の配置基準、行事日や、利用する児童の発育状況等により、受け入れできない場合がありますので、ここに掲載している基本情報については、目安としてご覧ください。,令和8年2月,0,0,1,5,2,5,0,0,0,0,0,0,2025-12-19
